filename,extracted_text,avg_confidence,num_regions
1.jpeg,"Kinder ONE MILK SOLIDS MILKY CREAMY & CRUNCHY PROPRIETARY FOOD - COCOA SPREADS WITH EXTRUDED RICE NUTRITIONAL INFORMATION CategOry: 2.4.1. INGREDIENTS: SUGAR, SKIMMED COW MILK POWDER Per 100 g Per serve %RDA (22%), PALMOLEIN, PALM OIL, EXTRUDED RICE (7.7%), LOW FAT COCOA Energy 539 kcal 5% POWDER (2.6%), EMULSIFIER (LECITHIN - INS 322), POWDERED BARLEY Protein 8.40 3% MALT EXTRACT, NATURE-IDENTICAL FLAVOURING SUBSTANCES. Carbohydrates 55.4g ALLERGEN INFORMATION: CONtaiNS MILK, BARLEY, SOY. Total Sugars 48.8g May contain traces of WHEAT. Added Sugars 36.3g 14% MFD. BY: FERRERO INDIA PVT. LTD. Regd. Off. & FaCtOTy: Plot NO. F-13 Total Fat 31.3g 90% MIDC, Baramati, District Pune  413133, Maharashtra, India. Saturated Fat 14.2g 12% Contact Consumer Executive at Reqd. Off. address, Tel No. Trans Fat 0q 0% Cholesterol 0.7 mg 1800-209-1200,e-mail:customercare.india@ferrero.com Sodium 134 mg 1% STORE IN A COOL, HYGIENIC AND DRY PLACE. Vitamin B12 1.07 μg DO NOT KEEP IN THE FRIDGE 9% Serving size: 19 g (1 piece) Number of servings per pack: 24 T1x24 NET WEIGHT: 456 g  fssai 8 000500""346792"" (19gx24N) Lic. No. 100130220021",0.952,64
2.jpeg," ON NaDO Lic. No. 1001404700005 GEEEA 00l nery. Yodaily vales ma be hige roer depend n you cl nees. Nuts. Soy, Wheat",0.661,6
3.jpeg,"Ingredients Water, iSolg NUTRITIONAL INFORMATION (Approximate Values) Wheat  Flour, Palm Kernel Oil, Casheu Serving per Pack: Nuts, Cocoa Powder, Maltodextrin, Sat Serving Raising Agent (INS 500 ()1. Cocoa Size: 56g 1 Nos. Solids, Cocoa Brownie Cubes Suga Cocoa Solids, Humectant (INS 422) Per 100g Wheat Starch, Sweetened Condensed 265.5 kcal 74 Milk, Coconut OiPalmolen Oi Liud Foerny Glucose, Sait). Emulsifiers& Stabilzers Protein 5.30 5 30.7 g Food Color (INS 150d), Artificial ( Carbohydrate Chocolate B Brownie) Flavouring Substanze Total Sugars 27.3g Allergen Information: Contains Milk, Wheat &Nuts. May Contains Soy Added Sugar 19.40 21.7 Total Fat 13.59 113 pack according to local waste guidelines Saturated Fat 8.2g 20.6 Trans Fat 0.01 0.28 ) Cholesterol 32 mg KEEP FROZEN. STORE Sodumn 62 mg 1 AT -18°C OR BELOW # Per serve c contribution to Net Quantity: 56 g/100 mL Recommended Dietary Allowance For MRP ncl.   (RDA) calculated on the basis of 2000 kcal Energy. Your daily values Uni Sale rice:e may be higher or lower depending Use by Date and Lot. No: on your calorie needs (See on Lid/Tub)",0.9378,78
4.jpeg,"PROD OREAMLINE EDAIRY LTD PASTUURIZED TONED MEEEN Ingredients: Milk solids. Lic. No.1001404700 --- Vitamin A (Retinyl palmitate)., Vitamin - _ SA 02 (Ergocafciferot) Contais: 3.0%  imm, 8.5% SNF iium - Lic. No.1001204200 Nutritional Information O DDA per 100ml* perserve  [H) Sy. Na. 21. Epura (V] 58.6 kcal 150/. Lic. No. 10012044 Enerey 30g 2.80% Dyatein (B] Sy. No. 795 & 792, Katm% Opp. Spiming MIL R Carbohydrate 49g ChittnorDistricd Aafhis Pal 400 Total Sugars 0.00. Lic. No. 100120440 Added Sugars 00g 30g 2.20% (S)Sy. Ns.34, Bataja Tatal Eot A.001. Saturated Fat 21g 0.0% Lic. No.10019044 Trame Fak Below 0.05 (K) Sy. No. 50, 51, 52, 54 Rd Cholesterol 71 mg Shamer 40.6 mg 1.0% Lic. No. 10017047 Rodium Added Vitamin A 36 ug RE* 1.00% 2.20% Added Vitamin D2 O.65 1g Lic. No. 100200220 Serving Size: 50 ml per serve M) Sy. Ns. B, Gabapn Namber of servings: See the side panel Fol Allergen: Contains Milk Lic. No. 10019043002 Retinal Equivalent STORE UNDER REFRIGERATION LESS THAN 5'C  Sy. No. 319 & 328/2, Pidatala Prakasan Dited Marketed by: CREAMLINE DAIRY PRODUCTS LTD.. Lic. No. 10012044000 Ragd. Ofice: H.No. 6-3-1238/B/21, Asif Avenue. Somajguda, Hyderabad, Telangana 500082 (V)1/248 fssai Lic. No. 100170420 Lic. No.10014047000274 IE OF CONSUMER CMPLAINTS OR SUGGESTIONS, CONAC CREAMLINE DAIRY PRODUCTS LTD. Lic. No.1 1241602800 Fdres pleas ref 'Marketd y' decaaton For Manufacturing mit TOLL FREE NO.: 1800 425 5868  No. e   Email:customercare.cdpl@godrejcdpl.com - Website:www.godrejjersey.com 81906016-41812 RICMIS ONLY A BRAND NAME AND A DIONND RRARO MJE NATURE OF ME PRODUCI DOES NOT Vs REPRI",0.8375,113
5.jpeg,"PRESS TO OPEN Bournville Cadbury Bournville - a treat for your senses NUTRITION INFORMATION' SUPPORTS COCOA LIFE HELPS - Serving size:20 g: No. of servings per package: 3.5 W.DDAA SOURCED  Per 100 g COCOA B FARMERS GET THE MOST per serve 1 E FROM THEIR COCOA TREES QO Energy kcal C Protein g THROUGH ENVIRONMENTALLY Carbohydrate C 560 Approx Total Sugars g 150 FRIENDLY FARMING Added Sugars 79 300 100 Total Fat g 10. AAAA MWW.COCOALIFE.ORG Saturated Fat g o 2 Trans Fat g Cholesterol mg A 1 O:10 Sodium mg Recommended Dietary Ailowance requirement for average a adult per day Composite Chocolate Ingredients: Sugar, Cocoa Butter (24%*), Cocoa Solids (18%*), Raisins (7.5%) Cashew Nuts (4%*). Apricot Kernels (4%'), Milk Solids, Emulsifiers (442, 476) Nature identical Flavoring Substance Ailergen information: Contains Milk, Cashew, Apricot Kernals, Sulphites. May Contain other Tree Nuts, Soy *50% dark refers to 50% Cocoa Solids in the chocolate e-mass Storage Conditions: STORE IN A COOL HYGIENIC AND DRY PLACE DO NOT STORE ABOVE TEMPERATURE OF 25°C Temperature and humidity changes may cause product to develop a whitish layer, without affecting its fitness for consumption Tradema:ks of Mondelez International group used under license 'PRODUCT QUALITY' If you are not satisfied with the product quality, retain the package & call 1800 22 7080/email at suggestions@mdIzindia.com write to Mumbai address on pack. fssal Mkt. By. Mondelez India Foods Private Limited, Lic.No. 10014022002711 Unit No. 2001, 20th Floor, Tower - 3 (Wing C One International Center, Parel, Mumbai - 400 013. HAAOALKEAAJ For and packing n address, rad th fst characof he code and see below J-Mid. By and Packed By: Makson Pharmaceuticals Lic.No. 10012021000048 Private Limited, (Food Division) 195, Rajkot Highway. Surendranagar, Gujarat - 363 020. Lic. No. 10019022010548 F - Packed At: M/s Ameya Plastics, G. No.: 258/1 Kharabwadi(Pawar Basti), Taluka: Khed, District: Pune- 410 501. LZoo7 ""on eanenLE Dau snH na Matal Mfd yTCPL ckin L.Re NoPR-S-000-AAACT140E-2 Net Wt.: 75g Code. 7 622202""325908"" J60704 A1 04/07/26 SCAN QR CODE TO Pkd. 30/03/27 UNLOCKT THE WORLD 135 OF CHOCOLATE 1.8/g Use. By RECIPES FUIN MRP Rs. FACTS & MORE! (Incl. of all taxes)",0.8696,118
product (1).jpeg,,0.0,0
product (10).jpeg,"Dlecta SERVING SIZE 20g 7 SERVES PER PACK PER 100g % ROA PER SERVING T ENERGY (kcal) 28 PROTEN (g) 24.5 SHREDS CAR3OHYDRATES ( 0 TOTAL SUGAR'g 0 ADDED SUGAR i0 - TOTAL FAT (g) 205 6 Ingredients: Mozzarella Cheese SATURATED FAT (g) 12 Pasteurised Milk, Pasteurised Skimmed Milk 117 sed Sat, Firming Agent (INS 509) TRANS FAT 0.73 7 Wcrobial cultures and Microbial Rennet) CHOLESTEROL (ing) 64.62 CONTAINS MILK SODIUM I(mg) 640 64 APPROX,. VALUE ORE FROZEN AT OR BELOW - 18°C (n) RDA CALCUATE NDER HYGIENIC CONDITIONS. JO NOT PURCHASE IF THE PACKAGE IS JAMAGED OR INFORMATION IS ILLEGIBLE BATCHNO: Hanufactured and Marketed BDlecta Foods Py MRP (INCE OF ALL TAXES Survey No. 148/1 & 148/2, Village - Urbr USP2/g. B.NO.21820726 14: Post-Khambewadi, Taluka - Khalapur MRP.Rs.109(0.78/g Dist. - Raigad -410203, DATF PACKAGING: DOP.18 Jul 2026 Maharashtra, India. Web:Www.dlecta.com USE BY: CBRg. No. BO-03-00-08-AAACC2407L-22 issa . N. 10012022000256 WL-consuT 024213090 nercare@dlecta.com 906010""090",0.8942,67
product (100).jpeg,"INFORMATION NUTRITION PACK APPROXIMATELY 9 SERVING SIZE: 30 PER OF SERVINGS NUMBER TOTAL SERVE (30 SERVING WITH RDA PER PER 100 200 ml COW'S MILK 260 kcal 378 kcal 6% 84 kcal ENERGY 9 kcal ENERGY FROM FAT 9.3g 1.0g 0.4% 0.6 g 0.8% FATTY ACIDS SATURATED 0.1g MONOUNSATURATED FATTY ACIDS 0.2g POLYUNSATURATED FATTY ACIDS 0% og TRANS FATTY ACIDS 0 mg 36.0 g CHOLESTEROL 86.9 g TOTAL CARBOHYDRATES 9.2 2.4g OFWHICH TOTAL SUGARS 5% 8.0 0.8 g WHICH ADDED SUGARS OF 2.5 g OF WHICH DIETARY FIBRE 8.5 g 6.7 g PROTEIN 207 mg 490 mg 7% SODIUM %RD 13.9 mg 21 VITAMIN C 33.0 mg 0.4 mg 26 1.0 mg 0.6 mg VITAMIN B2 1.2 mg 4.2 mg ANT VITAMIN  B3 0.6 mg 8 VITAMIN  B6 1.7 mg 0.44g SA VITAMIN B12 0.33 μg 39.3 FOLATE 84.0 ug IRON 9.0 mg APPROXIMATE VALUES MILK NUTRIENT TABLES, NIN, ICMR OF",0.9672,106
product (101).jpeg,"vedaka ALL VEDAKA PRODUCTS ARE HYGIENICALLY PACKED AND UNDERGO AND TESTS TO MEET FSSAI NORMS. FOOD SAFETY MARKETED PRIVATE LIMITED RETAIL MORE WING E, SUITE E NO. 12TH FLOOR, TIMES SQUARE BUILDING, NET WEIGHT: KURLA ROAD, MAROL, ANDHERI Dried Fi 9 T05 ANDHERI (EAST),MUMBAI - 400059 MAHARASHTRA,INDIA (Incl. of all taxe USP: Rs. fssai BATCH NO: 5 Packed on : 10012022001022 Lic. No. USE BY: OR FEEDBACK/COMPLAINT(S) ARTICLE NO: 1 RITE TO INCHARGE MANUFACTURE ISTOMER MORE RETAIL PRIVA E CELL AT THE C.K.PALYA,BANNER HEREIN BANGALORE-5 ADDRESS ALL ssal ON +91 8108138000 MAIL AT ACE INSTRUCTIONS: COOL AND DRY",0.9763,66
product (102).jpeg,"OF4 NUTRiTiONAL iNFORMATiON If a serve is 76 g Per NUTRITION Per %GDA# 100 g INFORMATION serve Per serve 319 242 Energy (kcal) 12% Food,Good LifeTm 8.1 6.2 12% (g) Approximate Values Carbohydrate 48.7 37.0 14% -Total Sugars 5.1 3.9 4% KNOW uten, lodized salt, -Added Sugars 4.1 3.1 Humectant (451(i)). Total Fat 0 10.1 7.7 11% 76 -Saturated Fat (g) Starch, Milk solids, 8.4 6.4 32% +Pack contains extract (not more than) powder, Yeast 0.09 Per 12% ene -Trans Fat (g)"" 0.11 contribution to T Spice extract blend, 6% added (not more than) sugar, 11% total fat, 29% satura ated coriander leaves 0.6 0.5 fat, -Cholesterol( (mg) 28% 5% trans fat and 33% sodium 880.0 668.8 other Sodium (mg) than naturally Amountsnverage du (2000 kcal #Guideline Daily trans vevey, zepur Road TS & STRONG ODOURS Moga - 142 001, (Punjab) PLACE TO INDIA LIMITED B AL AND BHUTAN QNL 10012063000064",0.9796,107
